"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV343","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769_ITS2_ASV348","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Juglans","s__hopeiensis"
"PRJNA356769_ITS2_ASV355","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Triticum","s__aestivum"
"PRJNA356769_ITS2_ASV357","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita",NA
"PRJNA356769_ITS2_ASV359","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Zingiberales","f__Musaceae","g__Musa","s__acuminata"
"PRJNA356769_ITS2_ASV366","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769_ITS2_ASV370","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Eruca","s__vesicaria"
"PRJNA356769_ITS2_ASV38","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769_ITS2_ASV786","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Eruca","s__vesicaria"
"PRJNA356769_ITS2_ASV410","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Bambusa","s__nutans"
"PRJNA356769_ITS2_ASV418","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Cicer","s__arietinum"
"PRJNA356769_ITS2_ASV420","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Poaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV423","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769_ITS2_ASV434","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Thinopyrum","s__junceiforme"
